application_id,age,monthly_income,loan_amount,previous_defaults,credit_score,default,leak_col_good,leak_col_subtle
501039,29,3906961,10376796,1,311,0,0,-0.057
501040,36,16424284,1142724,0,434,0,0,-0.037
501041,29,8782110,2022975,0,530,0,0,-0.032
501042,48,12290698,8908164,0,824,0,0,-0.031
501043,43,18478461,9394894,0,810,0,0,0.001
501044,32,15625493,14449817,0,761,0,0,0.032
501045,29,6985739,9332569,0,519,0,0,-0.0
501046,32,15105213,5467747,0,381,0,0,-0.046
501047,29,5381443,8335427,0,431,0,0,-0.011
501048,39,15818741,4207158,0,339,0,0,-0.014
501049,56,17310464,7216186,0,547,0,0,0.047
501050,53,8082537,10701209,0,350,0,0,-0.005
501051,33,19646577,6089009,1,482,0,0,0.016
501052,22,13382614,5943091,0,460,0,0,0.039
501053,45,8534669,6407253,0,594,0,0,0.007
501054,33,10554875,7300349,0,451,0,0,0.022
501055,33,15253623,1016320,1,638,0,0,0.0
501056,53,19006243,12053869,0,618,0,0,-0.013
501057,47,14141409,11776786,0,533,0,0,0.002
501058,57,10749102,9849662,1,615,0,0,0.007
501059,39,9627045,6933672,0,665,0,0,-0.021
501060,42,7411388,1360958,0,653,0,0,0.01
501061,37,18997737,6569099,0,777,0,0,0.03
501062,22,11536897,9232566,1,351,0,0,-0.012
501063,32,6548325,8293066,0,778,0,0,-0.058
501064,53,18886116,6445376,1,803,0,0,0.04
501065,48,3094579,1847424,0,356,0,0,-0.001
501066,46,4234955,7518662,1,409,0,0,0.007
501067,45,13150875,14083050,0,561,0,0,0.055
501068,48,4859476,5092667,1,780,0,0,-0.011
501069,51,11526767,11989353,2,491,0,0,-0.009
501070,51,6255953,3844508,0,725,0,0,-0.013
501071,47,8955183,6986721,0,697,0,0,0.052
501072,21,9412745,9772742,0,396,0,0,-0.014
501073,55,3816008,5266107,0,311,0,0,-0.047
501074,53,18386454,13689719,0,466,0,0,-0.001
501075,21,7310045,8689344,0,792,0,0,0.03
501076,29,13045494,1782692,0,633,0,0,-0.025
501077,53,12641436,7309017,0,590,0,0,-0.008
501078,57,11183740,7311196,0,398,0,0,0.04
501079,35,7693410,12781794,1,467,0,0,0.01
501080,35,14525517,14132836,0,793,0,0,-0.04
501081,49,12213229,5920073,0,832,0,0,0.05
501082,41,9714321,1414404,0,490,0,0,-0.036
501083,38,12298789,11332125,0,535,0,0,0.003
501084,36,4908660,6726211,0,534,0,0,0.039
501085,49,11247314,13698310,0,396,0,0,-0.008
501086,47,8404981,2995509,1,483,0,0,0.023
501087,35,11184511,11928766,0,414,0,0,0.08
501088,29,9095306,1645746,0,692,0,0,-0.022
501089,48,4222568,13282300,0,364,0,0,0.007
501090,22,10710096,9929747,0,360,0,0,0.054
501091,41,7898412,5736859,0,514,0,0,0.018
501092,31,15348251,11457034,0,803,0,0,0.028
501093,52,7707970,12425968,0,376,0,0,0.039
501094,42,5727904,4747516,0,776,0,0,-0.041
501095,55,12502714,4800205,0,608,0,0,0.034
501096,36,9534906,3860743,1,343,0,0,-0.029
501097,51,3043831,8732887,0,611,0,0,-0.031
501098,30,5381178,4754546,1,649,0,0,0.015
501099,56,15765465,12250165,0,322,0,0,-0.022
501100,41,7519577,4786782,0,658,0,0,0.012
501101,28,10719750,6977850,0,696,0,0,0.008
501102,53,9954827,7732743,0,614,0,0,-0.022
501103,42,5500331,1654426,0,388,0,0,-0.028
501104,50,18057187,6820586,0,549,0,0,-0.014
501105,43,8860368,2326332,0,384,0,0,0.014
501106,35,7338654,11978391,0,369,0,0,0.073
501107,46,19361233,3235058,0,625,0,0,-0.041
501108,36,7764255,12735493,2,470,0,0,-0.033
501109,30,6907905,7202122,0,722,0,0,0.028
501110,56,8173743,11734256,0,301,0,0,-0.027
501111,48,6089805,11357263,0,768,0,0,-0.001
501112,46,11066931,9066216,1,818,0,0,0.017
501113,51,16413001,9827805,0,812,0,0,0.029
501114,38,6089206,10505196,0,308,0,0,-0.011
501115,37,6719387,14446854,0,772,0,0,-0.034
501116,52,16063319,5733455,0,394,0,0,0.024
501117,59,12700085,13895459,0,615,0,0,0.03
501118,25,14122337,5355486,0,421,0,0,0.003
501119,49,4540782,3808842,0,625,0,0,-0.035
501120,56,10586524,5103378,1,793,0,0,0.044
501121,59,5502280,6152206,0,741,0,0,0.027
501122,31,8161610,1429575,0,604,0,0,-0.005
501123,53,9290288,13018443,1,833,0,0,0.003
501124,24,18478807,13162026,0,543,0,0,0.056
501125,53,18866172,14271100,0,559,0,0,0.035
501126,21,4774830,13732325,2,392,1,1,1.034
501127,41,17769092,4948214,0,365,0,0,0.059
501128,37,16750531,12719308,0,841,0,0,0.031
501129,54,16786681,11008017,1,635,0,0,-0.04
501130,49,16320576,2562786,0,836,0,0,-0.039
501131,23,19413179,11730204,0,454,0,0,-0.009
501132,44,16261690,6996563,0,648,0,0,-0.003
501133,54,7994676,2121845,1,423,0,0,-0.01
501134,22,16566448,4204961,1,674,0,0,0.01
501135,51,15494334,1194626,0,776,0,0,-0.005
501136,27,5253053,6058941,1,367,0,0,-0.026
501137,49,6501397,5281191,0,678,0,0,-0.052
501138,31,10922545,5980706,0,741,0,0,-0.004
501139,45,7201343,2773545,1,779,0,0,0.057
501140,39,15542380,9639326,0,664,0,0,0.038
501141,31,11370001,3188919,0,663,0,0,0.034
501142,55,10920144,7206022,0,461,0,0,0.018
501143,53,16502351,10697909,0,461,0,0,-0.012
501144,25,8804472,7877884,0,519,0,0,0.022
501145,55,12066776,2827828,0,794,0,0,-0.001
501146,23,13393365,14919418,0,812,0,0,0.007
501147,51,19201505,10792687,0,805,0,0,0.021
501148,32,11436622,8129616,2,386,0,0,0.016
501149,24,5443535,8136051,1,726,0,0,-0.01
501150,52,5640213,14483206,0,742,0,0,-0.02
501151,44,5598559,1951346,0,620,0,0,0.046
501152,56,10420503,9723012,1,312,0,0,-0.009
501153,22,15574001,6763671,0,666,0,0,0.067
501154,25,17589112,2620686,0,556,0,0,0.015
501155,32,19108120,14456833,0,472,0,0,0.028
501156,45,5278435,4934904,0,373,0,0,-0.01
501157,44,8317041,12522132,0,441,0,0,-0.013
501158,45,16593185,10803634,0,729,0,0,-0.067
501159,38,15336012,5334209,0,400,0,0,0.043
501160,40,7587360,9024280,1,511,0,0,-0.009
501161,53,5319976,1000794,0,549,0,0,0.006
501162,49,13837620,7076467,0,346,0,0,-0.004
501163,49,10137726,13675700,0,695,0,0,0.02
501164,42,3835036,1258610,0,763,0,0,-0.011
501165,32,14637710,11482341,0,364,0,0,-0.004
501166,54,13007421,5004724,0,407,0,0,0.034
501167,24,6422517,8537682,1,840,0,0,0.019
501168,25,8821900,5854377,1,342,0,0,0.024
501169,30,3068237,4181551,0,672,0,0,-0.02
501170,42,10596414,4760285,1,316,0,0,0.049
501171,45,15610107,6871689,1,339,0,0,0.008
501172,21,16450555,12640798,0,553,0,0,-0.048
501173,30,19700949,12167564,1,390,0,0,0.024
501174,35,8007808,10516684,0,655,0,0,-0.028
501175,51,15717982,14707162,0,486,0,0,0.01
501176,37,13539894,10092525,1,683,0,0,-0.036
501177,32,17693344,6569810,0,383,0,0,0.009
501178,25,13292629,12096210,0,757,0,0,0.003
501179,58,9964348,13435940,0,314,1,1,0.989
501180,59,16278678,6333262,0,386,0,0,0.074
501181,29,9032321,3348955,0,309,0,0,-0.026
501182,37,19727550,6684843,0,759,0,0,-0.007
501183,49,18276488,3369891,0,710,0,0,-0.028
501184,37,16125635,13629787,0,745,0,0,0.025
501185,34,13879192,2200928,0,310,0,0,0.036
501186,40,14351246,2521451,0,523,0,0,0.022
501187,47,11266199,8714870,0,698,0,0,0.017
501188,59,9340199,2218680,0,498,0,0,0.023
501189,40,19146074,14260117,0,563,0,0,-0.006
501190,43,19586458,10040776,0,624,0,0,-0.03
501191,29,11805052,13940323,1,493,0,0,-0.027
501192,39,10936357,13982469,0,429,0,0,-0.015
501193,52,11600230,7062721,0,757,0,0,0.034
501194,32,13491645,10637354,0,632,0,0,-0.006
501195,22,8509457,9029354,0,820,0,0,0.01
501196,56,8198286,14157529,0,763,0,0,0.038
501197,41,16934390,6857860,0,375,0,0,0.059
501198,31,3118680,4187990,0,303,0,0,0.023
501199,48,17547103,7860347,0,330,0,0,-0.005
501200,32,15329401,2527685,0,523,0,0,-0.044
501201,25,16785532,13337724,0,340,0,0,0.02
501202,35,3939491,8384384,0,493,0,0,0.014
501203,52,16908171,2668450,0,477,0,0,0.007
501204,37,4955517,8276532,0,602,0,0,-0.016
501205,56,13626062,13316030,0,639,0,0,0.013
501206,34,8429770,7486056,0,705,0,0,0.015
501207,29,17470615,13650848,0,577,0,0,-0.014
501208,37,10070969,1267033,1,784,0,0,-0.048
501209,27,19314289,1818136,0,328,0,0,0.002
501210,52,5248749,8118604,1,558,0,0,0.031
501211,26,12175111,1750672,0,837,0,0,-0.006
501212,36,11074019,11708094,0,764,0,0,-0.0
501213,22,4149239,14246763,0,479,0,0,0.009
501214,30,12495116,11944669,2,786,0,0,0.036
501215,24,4690898,10719937,0,549,0,0,-0.032
501216,25,18160981,14718339,0,350,0,0,-0.012
501217,57,5863115,10313484,0,463,0,0,-0.045
501218,59,17012703,3015781,0,569,0,0,-0.014
501219,46,10486961,3186704,0,349,0,0,-0.056
501220,50,15318928,13084374,0,783,0,0,-0.014
501221,22,4011673,13085276,0,680,0,0,0.04
501222,38,14117391,8823855,2,626,0,0,-0.007
501223,27,18567204,9160312,0,718,0,0,0.008
501224,43,4879887,2597640,0,849,0,0,-0.027
501225,40,19594500,5919054,0,588,0,0,0.019
501226,35,15654535,5345665,0,630,0,0,0.001
501227,48,16661766,8813473,0,525,0,0,-0.011
501228,23,11009946,7599504,0,689,0,0,0.039
501229,23,17293068,2453645,0,445,0,0,-0.012
501230,32,7404450,11473166,0,458,0,0,0.04
501231,54,14195280,13861017,1,432,0,0,-0.024
501232,56,15628349,12317985,1,595,0,0,0.03
501233,28,18863686,14293506,1,811,0,0,0.04
501234,29,3792521,14329297,1,730,0,0,-0.049
501235,55,18851583,9766948,1,813,0,0,-0.068
501236,44,5871420,10328611,1,631,0,0,0.027
501237,44,4263077,6210886,0,703,0,0,0.0
501238,55,13624052,2294422,0,668,0,0,0.022
501239,31,14481229,10306491,0,579,0,0,-0.018
501240,26,3770084,1827161,1,372,0,0,0.049
501241,45,7856332,1577651,0,665,0,0,0.026
501242,21,3750387,4196750,1,778,0,0,0.02
501243,29,19394738,2676695,0,344,0,0,-0.015
501244,32,11927442,3211027,0,602,0,0,0.002
501245,33,3350389,1762071,0,648,0,0,0.029
501246,49,16271543,13244941,0,678,0,0,0.0
501247,52,17417060,6986812,0,350,0,0,0.005
501248,51,12264208,2966077,0,584,0,0,-0.024
501249,46,5654447,13667743,0,659,0,0,-0.0
501250,44,19867323,6840610,0,422,0,0,-0.016
501251,35,13695714,3879254,0,548,0,0,-0.028
501252,26,18596878,8119776,1,313,0,0,0.045
501253,49,4392790,8912187,0,357,0,0,0.019
501254,51,15064231,5432076,0,332,0,0,-0.021
501255,36,4781004,3992797,0,659,0,0,0.032
501256,30,7737487,13557244,0,371,0,0,-0.048
501257,24,15130381,5560458,0,684,0,0,-0.048
501258,49,11855905,10167844,0,623,0,0,-0.01
501259,28,15672883,3688593,0,840,0,0,0.039
501260,31,10773861,10137107,0,590,0,0,0.027
501261,21,7799052,10190704,0,401,0,0,-0.037
501262,57,3223042,13042572,0,610,0,0,0.003
501263,43,6785412,6154693,1,463,0,0,0.047
501264,50,7797086,13877577,0,659,0,0,-0.001
501265,35,7253269,14875132,0,546,0,0,0.021
501266,49,14537220,3398176,0,480,0,0,0.028
501267,44,8004482,6972401,0,422,0,0,0.031
501268,29,19141978,2588158,0,379,0,0,0.008
501269,31,12597516,4536387,0,369,0,0,0.02
501270,35,9353917,9033155,0,645,0,0,0.058
501271,58,14293665,7417256,0,812,0,0,0.039
501272,46,12120913,10740009,0,381,0,0,-0.011
501273,57,14167753,9611019,1,534,0,0,-0.024
501274,44,17384799,6482355,0,838,0,0,-0.028
501275,42,16566403,4065796,1,446,0,0,0.01
501276,38,4774814,13222390,0,782,0,0,-0.051
501277,29,15922168,4931864,0,389,0,0,-0.021
501278,49,11189954,1540192,0,679,0,0,0.008
501279,52,6890785,6755187,0,607,0,0,0.037
501280,32,5117069,3013630,0,506,0,0,0.045
501281,37,18508348,14296206,0,362,0,0,-0.016
501282,45,19195645,9625638,0,525,0,0,0.025
501283,34,16898758,13225867,0,552,0,0,-0.028
501284,45,10970510,7189517,0,540,0,0,0.03
501285,47,18343378,14147285,1,665,0,0,0.018
501286,33,4768309,3718155,0,677,0,0,0.043
501287,57,12036207,10887443,0,622,0,0,0.054
501288,30,18953127,7327535,0,639,0,0,-0.034
501289,29,13323404,1391114,1,429,0,0,-0.013
501290,33,12615544,5750549,0,336,0,0,0.016
501291,27,19068202,4141489,1,480,0,0,-0.019
501292,34,18200925,11596704,0,770,0,0,0.029
501293,56,8666291,1187321,0,524,0,0,-0.001
501294,25,11915572,6848013,0,683,0,0,0.045
501295,33,9178511,13506776,0,318,0,0,-0.007
501296,40,5945027,13170215,0,422,0,0,0.005
501297,48,10807871,1707279,0,751,0,0,0.018
501298,35,7535680,1084957,0,666,0,0,-0.086
501299,59,15239468,1037120,0,845,0,0,0.017
501300,41,4632089,10585179,0,676,0,0,-0.029
501301,37,6098627,8553758,1,613,0,0,0.004
501302,26,15587441,13620387,0,840,0,0,-0.023
501303,45,4850500,8232943,0,484,0,0,-0.04
501304,30,3911228,6882220,0,541,0,0,-0.011
501305,34,10057930,9228801,0,433,0,0,0.016
501306,39,13800258,1377142,0,345,0,0,0.021
501307,31,16547281,5729449,0,370,0,0,-0.026
501308,52,5985245,6394788,0,326,0,0,-0.046
501309,30,4136301,1471169,0,449,0,0,-0.024
501310,54,17072925,9141728,1,749,0,0,-0.02
501311,49,17762150,10485616,0,497,0,0,-0.014
501312,49,4332303,11930845,1,648,0,0,-0.01
501313,42,12839470,5972787,0,610,0,0,0.038
501314,34,13804801,14904803,1,508,0,0,-0.032
501315,22,16155799,3039423,0,410,0,0,0.027
501316,32,16765890,12201559,0,523,0,0,-0.031
501317,42,9606695,13218997,0,599,0,0,-0.022
501318,21,12119885,2767597,0,336,0,0,0.035
501319,32,14285925,6212695,0,751,0,0,0.003
501320,32,18724522,9565012,0,816,0,0,-0.006
501321,24,19185988,8814684,0,578,0,0,-0.013
501322,37,18876068,2387212,0,597,0,0,-0.02
501323,39,6569325,1210495,0,451,0,0,0.023
501324,21,15504379,10533193,0,725,0,0,0.005
501325,37,16529484,14203084,0,800,0,0,-0.025
501326,54,17140056,9951178,0,494,0,0,0.027
501327,27,17111729,13705893,0,537,0,0,-0.011
501328,53,11467567,6252726,2,712,0,0,0.038
501329,26,13061963,5648121,0,501,0,0,-0.013
501330,26,17744283,13326149,0,357,0,0,-0.024
501331,52,16993230,5271026,0,776,0,0,-0.014
501332,48,12411680,1873407,0,686,0,0,0.034
501333,57,19730634,7801393,1,321,0,0,0.008
501334,49,3675592,14791564,0,794,0,0,-0.002
501335,50,19703115,5039023,0,458,0,0,-0.021
501336,42,3604754,9453742,0,774,0,0,0.109
501337,25,9920127,12701205,0,703,0,0,0.013
501338,49,16217623,9215824,0,642,0,0,0.048
501339,22,4883720,13030466,0,680,0,0,0.025
501340,30,9760404,1189179,0,751,0,0,-0.028
501341,40,12331748,10144063,0,495,0,0,0.026
501342,38,7336772,5447389,0,690,0,0,0.0
501343,55,11821907,3791905,0,424,0,0,0.007
501344,56,13019909,6066522,1,458,0,0,0.029
501345,38,14614077,10512352,0,572,0,0,0.03
501346,32,14799157,14946794,0,505,0,0,-0.036
501347,45,13297002,4435422,0,690,0,0,-0.011
501348,56,18552848,8520018,1,834,0,0,0.04
501349,40,17689973,9017546,0,422,0,0,-0.037
501350,31,9315837,11574323,1,550,0,0,0.015
501351,40,5362525,6288484,0,375,0,0,0.001
501352,53,7619526,13226382,0,795,0,0,-0.036
501353,30,14857471,7495059,1,342,0,0,-0.02
501354,45,16298404,6846972,1,584,0,0,0.018
501355,30,17235247,11217316,1,718,0,0,-0.016
501356,44,3081337,5570096,0,455,0,0,0.032
501357,53,12382747,8061447,0,741,0,0,-0.015
501358,54,8962454,5403969,1,426,0,0,0.02
501359,35,11775004,2440485,1,621,0,0,-0.051
501360,44,14317653,6499930,0,455,0,0,-0.006
501361,35,4658256,8477937,1,813,0,0,-0.012
501362,30,6961100,1861389,1,511,0,0,0.005
501363,25,16910351,6704471,0,758,0,0,0.047
501364,42,16745018,2748578,1,472,0,0,0.016
501365,57,18247730,11254107,0,832,0,0,-0.018
501366,51,14344496,12062071,0,509,0,0,-0.021
501367,43,13519334,5541008,0,483,0,0,-0.018
501368,31,16318418,7810272,0,743,0,0,0.048
501369,30,7535342,13016775,0,724,0,0,-0.034
501370,55,16781838,2192702,1,544,0,0,0.058
501371,42,4789087,8425952,0,830,0,0,-0.051
501372,42,8975552,8633727,0,347,0,0,-0.021
501373,57,8990094,6910139,0,393,0,0,0.053
501374,47,3190498,4869970,0,758,0,0,0.045
501375,21,9095571,5580574,0,508,0,0,0.0
501376,25,5452371,8231934,0,395,0,0,0.05
501377,31,9967086,7120619,0,559,0,0,0.035
501378,53,5517491,4695991,0,483,0,0,0.006
501379,36,16163853,9797302,0,689,0,0,0.001
501380,50,10225848,11309780,0,598,0,0,-0.017
501381,48,8294840,3190534,0,488,0,0,0.011
501382,49,15929405,7257297,0,537,0,0,-0.023
501383,36,10227484,2236262,0,608,0,0,-0.005
501384,21,10382216,3771786,0,822,0,0,0.028
501385,28,15567481,4596832,0,408,0,0,-0.041
501386,24,19413066,13636117,0,348,0,0,0.043
501387,56,14733348,13659143,0,516,0,0,0.015
501388,38,18306743,4359142,0,409,0,0,0.044
501389,39,8019516,9860830,0,493,0,0,-0.035
501390,56,15905824,6847284,0,539,0,0,0.011
501391,29,6327011,10263898,0,831,0,0,-0.01
501392,46,14601848,3897266,0,671,0,0,-0.034
501393,22,13809815,8934683,0,471,0,0,-0.031
501394,23,6313365,7377942,0,571,0,0,0.018
501395,48,5146990,3646696,0,682,0,0,-0.019
501396,40,8111234,5198153,0,704,0,0,0.026
501397,39,4154131,2168790,0,608,0,0,-0.004
501398,39,5256625,13351264,0,437,0,0,0.042
501399,57,11924287,9686796,0,422,0,0,-0.071
501400,35,17851982,13501662,0,793,0,0,-0.012
501401,26,5410104,10193626,0,561,0,0,0.024
501402,21,18875344,14392140,0,828,0,0,-0.033
501403,33,6089301,11221231,0,567,0,0,-0.008
501404,23,16948429,11085814,0,597,0,0,0.0
501405,28,3078129,9407609,0,716,0,0,0.033
501406,43,9812701,1297724,0,591,0,0,-0.022
501407,48,3933477,13051758,1,777,0,0,0.031
501408,53,8120071,7914145,0,834,0,0,-0.034
501409,54,19282879,7769710,0,544,0,0,0.019
501410,54,5948209,14289414,0,814,0,0,-0.022
501411,45,13595513,11787627,0,756,0,0,-0.004
501412,21,18185728,6166283,0,473,0,0,-0.001
501413,27,5917114,11501508,0,564,0,0,0.028
501414,58,4569973,6392997,1,833,0,0,0.056
501415,48,10474058,13703749,0,377,0,0,0.018
501416,37,7339917,4490137,0,733,0,0,0.003
501417,58,10887296,3449298,0,650,0,0,0.024
501418,50,7681899,11271182,0,411,0,0,-0.008
501419,21,18560944,1087304,0,683,0,0,0.016
501420,48,19175002,5682274,0,353,0,0,0.088
501421,56,17623056,9386158,0,352,0,0,0.009
501422,38,15782838,3459553,0,544,0,0,0.025
501423,22,4034362,2905342,0,837,0,0,-0.071
501424,53,18788735,5131553,0,619,0,0,0.013
501425,27,8293988,14655772,1,834,0,0,-0.013
501426,59,15699492,5306733,0,422,0,0,0.005
501427,38,14497047,1683948,0,812,0,0,-0.012
501428,27,17293917,2729419,1,327,0,0,-0.008
501429,24,18389271,13708646,1,760,0,0,-0.028
501430,37,14428702,2459299,0,538,0,0,0.0
501431,39,11923864,9418175,1,673,0,0,-0.018
501432,25,16684079,13887348,0,406,0,0,0.027
501433,59,5131030,4743825,0,337,0,0,-0.045
501434,58,14087453,1636407,0,813,0,0,0.033
501435,57,10676316,4501061,0,625,0,0,-0.03
501436,33,11673137,11759901,1,701,0,0,0.041
501437,32,14677097,11492372,0,631,0,0,-0.012
501438,57,6648193,2983415,0,374,0,0,-0.07
501439,24,13707278,2595925,1,756,0,0,-0.029
501440,45,19017404,1868472,0,455,0,0,-0.015
501441,51,12332743,5213386,0,575,0,0,0.057
501442,35,4011239,6391974,0,367,0,0,-0.022
501443,48,4415352,10264937,0,345,0,0,0.031
501444,31,9629972,8835398,0,605,0,0,-0.017
501445,49,13879258,1440862,0,786,0,0,-0.015
501446,25,15674719,11982967,1,794,0,0,0.017
501447,22,9391247,4403171,1,558,0,0,0.021
501448,40,9001563,11346440,0,815,0,0,-0.007
501449,42,17018427,3727671,0,454,0,0,0.011
501450,47,11083740,13078076,1,336,0,0,-0.042
501451,41,5931875,14257912,0,834,0,0,0.04
501452,40,12709948,12274859,0,454,0,0,-0.046
501453,52,9453366,8091102,0,813,0,0,-0.012
501454,56,4327639,14489599,0,565,0,0,0.007
501455,23,8751124,13990964,0,645,0,0,0.029
501456,28,12454471,8032989,0,838,0,0,-0.026
501457,50,17999003,6210078,0,800,0,0,-0.042
501458,24,16297106,4397546,0,592,0,0,0.029
501459,27,18347365,5125674,0,584,0,0,0.013
501460,44,16635141,6685671,0,504,0,0,0.021
501461,29,4244909,13075741,0,435,0,0,0.025
501462,54,3843440,10416392,0,615,0,0,0.017
501463,55,7737115,3222981,0,427,0,0,-0.006
501464,29,18589279,5309656,0,648,0,0,0.011
501465,59,5941345,10112925,0,748,0,0,-0.032
501466,35,13765484,12113497,1,836,0,0,0.053
501467,32,9656292,6310786,0,528,0,0,-0.02
501468,24,9691541,13627861,0,652,0,0,-0.018
501469,37,17794855,6995433,0,314,0,0,0.001
501470,29,18521001,7202056,1,482,0,0,0.016
501471,51,17139970,6565809,0,435,0,0,-0.009
501472,50,19804996,12402466,0,554,0,0,0.05
501473,58,7503588,6073670,0,603,0,0,0.022
501474,38,11361804,10107055,0,748,0,0,-0.025
501475,41,4835145,11916808,0,759,0,0,0.033
501476,37,18630052,12721818,1,760,0,0,-0.005
501477,55,18435962,11121243,1,673,0,0,-0.002
501478,37,6018992,9254460,0,705,0,0,0.058
501479,37,18285700,9038636,0,740,0,0,-0.06
501480,45,4473902,14254507,0,532,0,0,0.026
501481,33,18782881,13581856,0,824,0,0,-0.02
501482,44,11154295,12794750,0,609,0,0,0.008
501483,35,10269125,2884791,0,404,0,0,-0.047
501484,41,13967820,2347706,0,602,0,0,0.023
501485,32,16213823,11385653,0,625,0,0,0.014
501486,34,17991508,5945468,0,627,0,0,0.034
501487,48,17638881,9781745,1,387,0,0,0.043
501488,45,19547124,14890693,2,811,0,0,0.019
501489,48,16187038,10145808,0,593,0,0,-0.011
501490,51,8269730,1504127,0,665,0,0,-0.022
501491,56,12975489,4444182,0,577,0,0,-0.061
501492,36,10856510,6250392,0,386,0,0,0.002
501493,49,3790937,11858194,0,300,1,1,0.99
501494,31,7666349,2290867,0,513,0,0,-0.02
501495,46,10732563,14073948,0,490,0,0,-0.035
501496,47,16469795,2393950,0,419,0,0,-0.004
501497,50,15879206,4588869,0,494,0,0,-0.017
501498,57,15929353,13289508,0,488,0,0,0.006
501499,23,10698914,12256766,0,683,0,0,-0.009
501500,30,14930815,14945505,0,847,0,0,0.024
501501,52,4543236,6144727,0,787,0,0,-0.036
501502,25,19164675,7852537,0,571,0,0,-0.017
501503,29,3951408,11262217,0,440,1,1,1.038
501504,46,13677651,10037177,0,577,0,0,-0.002
501505,55,10257814,1182586,1,702,0,0,0.038
501506,25,19642436,12365706,0,701,0,0,0.011
501507,36,16808988,11503959,0,811,0,0,0.003
501508,33,17110443,7554929,0,347,0,0,0.01
501509,50,18352661,2833977,0,838,0,0,-0.016
501510,31,18962538,5089085,1,792,0,0,-0.026
501511,50,7542197,13656092,0,439,0,0,0.034
501512,41,5834795,13332879,1,536,0,0,0.02
501513,24,13268742,10356374,0,759,0,0,0.028
501514,37,11493608,3901282,0,385,0,0,0.055
501515,53,7502714,5053368,0,692,0,0,-0.0
501516,51,13984242,8223082,1,792,0,0,0.024
501517,26,13509859,11018645,0,542,0,0,-0.037
501518,53,4701637,5012322,1,579,0,0,0.033
501519,59,19543442,4382917,0,494,0,0,-0.041
501520,47,14167026,3214583,0,539,0,0,-0.017
501521,45,15715897,13637526,0,793,0,0,-0.017
501522,39,6493514,6530364,1,601,0,0,0.017
501523,22,19120497,11973974,0,581,0,0,-0.011
501524,21,17899757,8907741,0,531,0,0,-0.008
501525,34,8125293,11848100,0,729,0,0,-0.009
501526,35,5566450,2573801,0,782,0,0,0.005
501527,42,5089982,14798026,0,688,0,0,0.005
501528,37,5893618,7192635,0,841,0,0,-0.017
501529,52,18207450,6870935,2,726,0,0,0.02
501530,53,18641136,12780792,0,539,0,0,-0.006
501531,21,7791567,3368465,0,538,0,0,-0.0
501532,39,4381681,3109850,0,479,0,0,0.032
501533,58,8575566,2078708,0,472,0,0,0.003
501534,55,7072885,4016966,1,322,0,0,-0.025
501535,24,13578189,1150703,0,432,0,0,-0.013
501536,31,16945553,8381588,0,357,0,0,0.039
501537,23,10253195,2053943,0,467,0,0,-0.027
501538,22,16604073,12503182,1,311,0,0,-0.013
501539,56,7262133,7711367,0,649,0,0,0.033
501540,43,5401809,13161243,0,572,0,0,-0.006
501541,31,13355189,14451079,0,570,0,0,0.013
501542,55,13808429,2664993,0,470,0,0,-0.018
501543,49,4551104,11174926,0,366,0,0,0.001
501544,27,13315791,7339818,0,811,0,0,-0.031
