order_id,customer_id,order_date,payment_value,decoy_flag,decoy_noise
101054,748,2024-02-24,376.59,C,346.8
101055,315,2024-06-01,163.55,B,184.47
101056,614,2024-01-06,91.0,A,68.58
101057,988,2024-01-14,645.7,C,730.71
101058,418,2024-01-03,212.55,C,154.39
101059,312,2024-01-24,80.43,C,10.8
101060,460,2024-01-30,162.44,D,173.45
101061,370,2024-01-19,109.73,B,110.92
101062,5,2024-04-15,392.05,C,386.91
101063,109,2024-01-27,251.7,B,207.46
101064,892,2024-01-20,129.45,B,149.65
101065,183,2024-02-16,338.33,C,305.91
101066,631,2024-01-10,152.43,A,159.35
101067,292,2024-04-07,159.56,B,93.35
101068,840,2024-01-05,88.82,B,88.24
101069,862,2024-09-17,88.2,B,57.3
101070,695,2024-03-29,617.81,C,679.0
101071,650,2024-01-14,327.46,D,276.86
101072,85,2024-01-01,25.12,A,65.36
101073,174,2024-04-11,71.6,B,76.94
101074,564,2024-03-14,58.44,A,52.65
101075,958,2024-03-19,174.52,C,147.07
101076,738,2024-03-29,118.63,B,135.13
101077,738,2024-01-05,445.48,C,438.63
101078,644,2024-01-27,127.96,A,123.34
101079,184,2024-01-08,576.82,B,581.87
101080,267,2024-04-29,156.08,B,113.18
101081,470,2024-02-28,659.87,B,707.93
101082,105,2024-01-25,141.89,C,151.13
101083,178,2024-01-04,144.11,B,105.24
101084,701,2024-01-23,322.49,C,284.56
101085,663,2024-01-24,290.7,B,326.5
101086,382,2024-03-19,49.26,C,81.26
101087,113,2024-03-01,177.73,C,212.99
101088,994,2024-05-10,117.73,B,149.06
101089,286,2024-02-08,111.16,C,87.19
101090,123,2024-01-08,177.08,B,204.31
101091,985,2024-03-15,132.17,C,122.27
101092,88,2024-03-26,191.43,C,185.67
101093,537,2024-02-19,68.64,C,66.5
101094,542,2024-03-29,38.19,A,73.61
101095,679,2024-02-10,331.09,A,291.84
101096,976,2024-02-14,366.72,C,284.67
101097,586,2024-02-03,317.01,C,303.92
101098,991,2024-01-02,171.14,D,181.47
101099,892,2024-01-07,124.11,D,100.4
101100,907,2024-01-02,98.9,B,122.84
101101,585,2024-03-01,83.67,B,62.46
101102,420,2024-01-23,156.22,C,152.01
101103,624,2024-02-12,360.59,D,367.69
101104,723,2024-05-22,91.87,A,125.6
101105,692,2024-01-18,361.01,B,319.53
101106,517,2024-02-01,40.37,C,40.68
101107,844,2024-03-25,198.9,C,146.56
101108,714,2024-01-16,230.22,C,233.42
101109,256,2024-01-05,108.05,A,147.7
101110,654,2024-01-21,64.51,C,62.74
101111,916,2024-01-11,301.5,B,297.04
101112,532,2024-06-08,172.13,C,203.38
101113,940,2024-04-09,791.38,B,771.82
101114,100,2024-03-01,364.34,C,373.44
101115,281,2024-05-03,366.31,C,337.32
101116,169,2024-04-07,9.24,C,-43.33
101117,366,2024-01-13,93.48,D,79.09
101118,383,2024-05-13,57.45,A,24.48
101119,325,2024-02-16,19.43,C,24.82
101120,233,2024-04-08,161.77,D,145.34
101121,91,2024-05-15,296.29,C,301.15
101122,770,2024-01-23,70.67,C,105.03
101123,908,2024-01-07,20.98,C,67.05
101124,28,2024-01-16,76.24,A,48.41
101125,44,2024-02-03,146.88,C,189.62
101126,653,2024-04-12,138.44,D,166.84
101127,597,2024-04-28,168.03,D,173.96
101128,811,2024-01-01,226.78,C,218.13
101129,311,2024-02-12,164.87,B,151.41
101130,904,2024-02-02,307.85,A,265.77
101131,892,2024-01-16,71.9,D,96.94
101132,832,2024-01-08,133.85,C,144.18
101133,373,2024-01-25,254.18,B,233.77
101134,780,2024-06-20,205.67,D,204.48
101135,297,2024-01-24,532.85,A,665.76
101136,44,2024-02-13,74.74,B,71.93
101137,11,2024-03-13,257.45,C,280.52
101138,787,2024-01-28,97.84,B,82.85
101139,381,2024-08-02,88.72,D,100.22
101140,828,2024-07-15,349.54,B,379.62
101141,712,2024-01-18,163.44,B,88.59
101142,923,2024-02-11,203.09,C,204.62
101143,505,2024-01-22,104.43,C,106.74
101144,199,2024-01-21,109.66,A,112.29
101145,469,2024-01-03,37.38,C,40.23
101146,121,2024-02-26,191.3,A,214.89
101147,923,2024-02-11,65.51,A,60.05
101148,14,2024-01-04,149.03,A,193.98
101149,992,2024-01-20,307.62,C,301.81
101150,477,2024-05-23,26.75,C,11.43
101151,408,2024-01-17,928.5,B,995.56
101152,576,2024-01-10,87.11,C,91.0
101153,732,2024-02-10,152.43,C,175.79
101154,664,2024-09-11,202.9,C,199.9
101155,758,2024-01-17,84.55,B,118.6
101156,898,2024-03-07,112.98,C,131.62
101157,948,2024-03-27,357.36,C,399.97
101158,95,2024-01-17,284.75,A,275.29
101159,268,2024-03-19,136.13,B,88.56
101160,193,2024-01-28,166.43,C,253.13
101161,444,2024-03-01,185.4,C,246.0
101162,58,2024-03-01,249.48,C,330.39
101163,981,2024-02-16,262.33,C,200.64
101164,989,2024-01-06,257.44,C,301.74
101165,94,2024-04-18,119.14,B,113.02
101166,298,2024-01-24,180.96,B,167.89
101167,513,2024-01-13,331.6,C,269.15
101168,406,2024-01-03,644.62,B,571.21
101169,362,2024-02-23,177.16,C,194.85
101170,328,2024-03-08,106.19,C,115.39
101171,909,2024-01-02,83.13,D,170.48
101172,206,2024-02-13,258.86,C,285.92
101173,193,2024-01-16,35.53,C,43.88
101174,224,2024-03-03,260.72,C,252.33
101175,38,2024-01-12,263.97,C,248.32
101176,448,2024-03-11,109.44,C,78.86
101177,844,2024-01-30,199.59,B,233.31
101178,820,2024-06-14,139.76,B,81.68
101179,493,2024-01-09,47.03,B,42.91
101180,111,2024-01-26,247.33,C,201.6
101181,252,2024-01-08,231.68,C,198.21
101182,848,2024-06-04,116.82,C,146.29
101183,472,2024-05-05,638.05,C,649.84
101184,492,2024-01-18,167.49,C,163.07
101185,596,2024-03-05,23.81,C,48.41
101186,491,2024-04-11,343.57,C,340.84
101187,364,2024-02-18,290.55,C,303.68
101188,160,2024-02-15,314.72,D,248.51
101189,512,2024-01-17,68.96,C,118.01
101190,667,2024-01-06,195.68,C,165.86
101191,98,2024-05-16,165.33,C,182.29
101192,701,2024-05-18,145.21,D,153.44
101193,598,2024-03-01,406.09,C,386.46
101194,574,2024-01-25,169.26,C,165.3
101195,259,2024-01-26,120.19,C,149.89
101196,81,2024-03-18,119.21,C,103.52
101197,894,2024-05-16,64.12,D,-0.57
101198,462,2024-05-10,181.95,B,249.55
101199,859,2024-03-31,427.19,B,445.25
101200,359,2024-03-02,128.33,C,117.98
101201,468,2024-01-06,203.83,A,159.93
101202,366,2024-01-11,143.42,A,115.03
101203,95,2024-05-17,155.77,D,125.56
101204,489,2024-02-25,299.66,B,379.75
101205,287,2024-01-01,63.33,A,61.72
101206,733,2024-01-07,39.48,C,15.25
101207,704,2024-03-06,343.92,C,457.31
101208,682,2024-01-01,106.97,B,80.4
101209,570,2024-01-11,121.37,C,128.17
101210,43,2024-02-17,728.64,B,725.86
101211,672,2024-03-11,289.28,B,354.17
101212,158,2024-03-04,78.14,D,56.23
101213,235,2024-01-16,360.46,C,444.85
101214,475,2024-03-15,294.0,C,219.86
101215,851,2024-01-17,2.31,C,-38.1
101216,895,2024-01-24,187.02,C,199.76
101217,957,2024-03-23,66.36,A,99.67
101218,412,2024-03-03,155.52,A,142.8
101219,813,2024-04-23,645.97,C,535.6
101220,394,2024-03-05,308.51,C,257.73
101221,144,2024-02-20,337.62,D,273.93
101222,927,2024-01-06,143.65,C,166.57
101223,10,2024-01-28,338.69,D,296.57
101224,511,2024-01-19,89.79,D,128.02
101225,330,2024-01-17,185.24,C,159.53
101226,860,2024-08-04,298.71,B,364.37
101227,268,2024-01-30,292.39,C,264.5
101228,481,2024-05-13,42.13,C,42.11
101229,156,2024-02-29,555.3,B,473.51
101230,530,2024-04-05,75.18,A,103.11
101231,948,2024-02-11,814.08,A,885.5
101232,924,2024-02-21,304.93,B,210.05
101233,284,2024-02-10,286.99,C,341.53
101234,491,2024-01-14,81.21,D,55.72
101235,743,2024-03-17,110.79,B,68.67
101236,960,2024-01-20,525.89,C,566.24
101237,270,2024-01-02,481.07,C,467.8
101238,264,2024-03-03,146.84,A,108.92
101239,478,2024-01-12,137.18,C,147.51
101240,356,2024-06-18,140.4,C,177.12
101241,259,2024-07-03,362.15,D,379.1
101242,202,2024-05-27,338.42,C,416.86
101243,137,2024-01-28,221.97,B,270.24
101244,47,2024-01-01,186.62,B,120.4
101245,63,2024-06-07,145.52,C,129.27
101246,936,2024-02-03,772.17,A,864.91
101247,77,2024-07-23,47.17,B,67.4
101248,854,2024-07-17,122.64,C,100.37
101249,633,2024-04-25,210.89,B,215.08
101250,920,2024-01-21,37.99,C,63.31
101251,455,2024-01-30,104.63,B,120.57
101252,13,2024-04-24,640.49,B,602.81
101253,390,2024-01-23,323.0,D,294.51
101254,458,2024-01-12,103.92,C,114.03
101255,691,2024-02-18,101.26,B,72.86
101256,828,2024-06-14,47.53,C,38.32
101257,843,2024-03-12,116.49,A,100.82
101258,669,2024-02-20,251.38,B,171.63
101259,528,2024-01-07,221.15,A,172.69
101260,758,2024-02-27,121.63,C,123.7
101261,468,2024-10-03,74.19,C,55.91
101262,704,2024-01-10,143.99,B,168.87
101263,341,2024-02-13,141.48,B,162.78
101264,55,2024-05-05,294.57,B,265.27
101265,413,2024-03-22,198.26,C,208.71
101266,334,2024-03-12,178.91,B,189.42
101267,311,2024-03-13,384.12,C,342.12
101268,188,2024-01-27,478.12,B,505.03
101269,681,2024-01-21,219.19,B,175.03
101270,720,2024-04-09,223.18,C,233.62
101271,521,2024-04-09,151.99,B,178.85
101272,6,2024-05-01,80.25,D,74.21
101273,614,2024-05-26,311.12,B,262.59
101274,413,2024-02-12,270.12,C,288.66
101275,658,2024-02-11,161.85,A,138.93
101276,280,2024-04-06,198.72,C,194.9
101277,51,2024-03-03,366.84,C,312.39
101278,785,2024-03-13,409.31,D,464.88
101279,228,2024-04-05,9.84,C,0.6
101280,277,2024-05-12,98.11,B,64.38
101281,595,2024-01-25,161.44,C,159.87
101282,318,2024-01-29,64.01,C,20.8
101283,983,2024-01-06,202.65,A,212.2
101284,347,2024-02-21,102.61,A,119.82
101285,117,2024-01-03,207.75,B,201.96
101286,75,2024-02-07,105.28,C,126.4
101287,474,2024-02-16,109.11,B,115.16
101288,373,2024-01-21,206.57,C,253.27
101289,310,2024-02-23,320.6,C,388.76
101290,907,2024-01-02,259.07,C,246.74
101291,171,2024-01-03,162.51,C,142.65
101292,726,2024-04-13,26.32,B,28.21
101293,889,2024-01-27,106.89,D,101.79
101294,723,2024-01-09,97.23,B,81.58
101295,904,2024-02-14,281.8,C,298.01
101296,663,2024-03-29,187.86,C,200.92
101297,240,2024-01-15,193.12,C,238.58
101298,633,2024-02-28,83.61,C,68.82
101299,821,2024-01-06,420.47,A,463.49
101300,727,2024-01-04,192.14,C,153.79
101301,808,2024-02-15,79.16,C,95.31
101302,777,2024-02-16,84.35,D,58.35
101303,152,2024-03-01,213.36,C,221.15
101304,844,2024-03-18,76.48,D,69.36
101305,76,2024-08-11,98.31,C,105.28
101306,736,2024-02-13,61.09,C,59.09
101307,642,2024-01-24,280.18,D,271.62
101308,251,2024-04-05,78.12,C,22.25
101309,838,2024-01-19,467.61,C,429.48
101310,260,2024-02-04,233.12,A,270.75
101311,317,2024-01-05,60.86,B,28.54
101312,717,2024-01-02,257.39,C,216.46
101313,126,2024-07-16,420.97,D,443.61
101314,704,2024-04-18,157.09,A,177.64
101315,548,2024-03-12,454.39,C,426.26
101316,553,2024-02-01,236.33,C,319.02
101317,359,2024-01-12,102.7,C,68.38
101318,166,2024-01-11,647.13,B,632.76
101319,338,2024-01-18,46.2,A,65.62
101320,655,2024-02-17,128.48,D,145.21
101321,816,2024-03-16,162.51,B,159.61
101322,353,2024-03-05,576.33,B,647.46
101323,746,2024-01-20,284.77,C,298.26
101324,414,2024-07-04,251.81,C,273.36
101325,740,2024-03-21,89.63,C,39.52
101326,703,2024-02-18,152.48,A,163.04
101327,25,2024-02-26,104.77,D,105.88
101328,772,2024-02-02,245.79,B,275.2
101329,530,2024-01-18,376.54,A,443.75
101330,941,2024-01-27,744.48,C,864.52
101331,632,2024-03-26,114.9,C,85.65
101332,502,2024-01-01,44.86,A,57.18
101333,353,2024-01-08,130.24,B,110.98
101334,596,2024-01-03,341.92,B,305.38
101335,490,2024-01-03,80.19,C,99.02
101336,725,2024-04-26,167.06,B,202.02
101337,449,2024-03-13,254.11,B,223.47
101338,482,2024-02-08,116.85,D,77.81
101339,329,2024-01-07,198.41,C,159.63
101340,577,2024-02-10,73.32,B,87.49
101341,367,2024-02-08,394.47,C,414.77
101342,539,2024-01-12,138.29,C,124.86
101343,719,2024-02-04,194.13,B,178.64
101344,88,2024-01-31,27.65,C,20.41
101345,956,2024-02-27,64.18,C,52.78
101346,955,2024-03-01,334.09,B,288.43
101347,409,2024-01-03,115.49,C,122.96
101348,930,2024-01-29,76.77,A,103.71
101349,236,2024-02-28,41.18,C,63.67
101350,50,2024-02-11,389.43,C,437.4
101351,183,2024-04-26,276.15,C,314.53
101352,394,2024-03-05,263.44,D,203.72
101353,990,2024-01-11,495.93,B,392.23
101354,877,2024-01-05,128.59,A,118.8
101355,745,2024-03-02,45.42,D,51.54
101356,186,2024-01-02,174.64,C,189.97
101357,89,2024-02-22,559.54,C,497.75
101358,899,2024-06-18,177.38,A,207.18
101359,86,2024-02-21,369.88,C,432.28
101360,616,2024-01-30,47.23,C,1.51
101361,622,2024-03-02,88.03,C,107.88
101362,120,2024-02-06,320.44,D,260.44
101363,88,2024-02-17,191.18,C,162.1
101364,56,2024-06-19,154.84,A,169.32
101365,155,2024-01-30,366.41,C,428.61
101366,90,2024-07-13,317.47,D,291.32
101367,912,2024-05-21,195.06,B,166.34
101368,294,2024-01-14,10.05,C,-21.73
101369,361,2024-01-05,169.03,B,133.91
101370,949,2024-01-07,231.1,B,267.87
101371,708,2024-01-02,28.54,A,4.61
101372,535,2024-01-06,225.46,C,199.92
101373,595,2024-03-09,377.8,C,328.05
101374,696,2024-01-05,168.79,C,194.9
101375,719,2024-01-24,68.96,D,85.76
101376,735,2024-04-21,12.13,C,5.8
101377,88,2024-01-02,228.73,B,202.74
101378,971,2024-04-11,32.84,B,7.95
101379,53,2024-01-20,261.9,C,295.69
101380,714,2024-01-08,541.72,C,579.09
101381,712,2024-03-12,91.68,A,93.45
101382,707,2024-02-29,141.07,A,162.14
101383,403,2024-05-05,562.32,C,655.48
101384,516,2024-03-20,184.83,C,165.98
101385,925,2024-04-07,116.45,C,100.73
101386,941,2024-01-20,341.9,B,350.55
101387,873,2024-01-12,121.83,C,134.83
101388,533,2024-03-24,86.37,C,60.1
101389,822,2024-04-08,259.04,B,242.77
101390,244,2024-10-06,360.93,C,280.86
101391,638,2024-02-01,85.82,D,79.33
101392,877,2024-01-28,196.53,B,203.77
101393,713,2024-03-30,146.05,A,182.87
101394,52,2024-01-26,165.12,D,141.07
101395,243,2024-06-09,69.6,A,100.75
101396,402,2024-04-27,273.22,D,236.27
101397,723,2024-02-03,466.32,B,448.21
101398,657,2024-03-24,84.07,C,79.84
101399,556,2024-03-25,273.06,B,319.93
101400,619,2024-01-07,336.48,B,288.91
101401,664,2024-05-19,195.45,B,154.98
101402,113,2024-02-12,264.91,C,288.33
101403,902,2024-04-15,93.0,A,108.66
101404,223,2024-01-24,448.84,C,484.81
101405,667,2024-05-15,362.82,C,366.64
101406,431,2024-01-30,391.33,C,502.85
101407,994,2024-01-01,58.84,C,103.27
101408,174,2024-05-21,241.44,C,270.03
101409,347,2024-01-06,99.11,C,85.68
101410,347,2024-01-24,474.72,C,428.82
101411,675,2024-06-28,85.68,B,88.93
101412,185,2024-06-29,201.39,C,178.54
101413,396,2024-02-21,19.76,B,-2.62
101414,285,2024-02-29,200.62,B,221.92
101415,313,2024-02-05,59.52,B,-1.49
101416,198,2024-01-21,250.4,C,168.07
101417,567,2024-01-24,149.51,B,148.83
101418,933,2024-03-07,124.81,C,159.72
101419,71,2024-03-24,482.76,C,468.93
101420,710,2024-04-04,676.79,C,588.27
101421,565,2024-04-03,43.42,A,35.5
101422,467,2024-01-06,128.15,C,130.77
101423,526,2024-02-10,304.1,B,294.3
101424,498,2024-01-04,221.47,C,199.46
101425,533,2024-02-17,292.48,A,320.5
101426,462,2024-02-04,158.11,B,112.33
101427,872,2024-05-11,373.13,B,344.73
101428,526,2024-01-26,194.91,A,195.44
101429,821,2024-01-08,231.08,B,199.07
101430,115,2024-01-10,59.59,C,81.41
101431,864,2024-03-27,180.26,B,180.36
101432,730,2024-02-27,306.4,C,270.2
101433,383,2024-01-07,212.57,C,201.5
101434,195,2024-01-06,186.38,B,230.46
101435,207,2024-03-13,241.65,B,239.13
101436,853,2024-01-05,194.09,A,177.84
101437,862,2024-04-13,162.24,B,192.15
101438,432,2024-03-14,313.07,C,329.04
101439,505,2024-01-06,153.62,C,145.48
101440,462,2024-01-06,56.0,B,84.53
101441,111,2024-09-15,468.26,C,475.12
101442,440,2024-01-29,101.72,A,83.69
101443,679,2024-01-28,41.15,A,51.56
101444,613,2024-04-10,263.38,D,293.36
101445,169,2024-06-25,508.5,C,561.48
101446,432,2024-09-13,267.85,A,209.92
101447,668,2024-03-24,424.17,C,505.4
101448,258,2024-01-29,77.37,A,79.77
101449,790,2024-01-06,56.79,C,81.72
101450,455,2024-03-31,127.77,D,62.11
101451,748,2024-02-19,354.47,B,380.85
101452,640,2024-02-03,251.04,A,211.36
101453,352,2024-05-22,264.45,D,299.15
101454,123,2024-01-08,186.3,B,176.83
101455,701,2024-02-10,129.82,C,141.22
101456,848,2024-01-01,192.7,B,217.74
101457,292,2024-02-07,149.44,C,98.15
101458,962,2024-01-04,122.54,B,138.42
101459,337,2024-01-08,225.9,C,232.04
101460,817,2024-01-08,138.34,C,133.11
101461,771,2024-03-03,207.4,D,205.62
101462,279,2024-03-23,22.7,B,41.12
101463,955,2024-02-22,194.86,A,239.08
101464,869,2024-07-15,137.65,C,147.82
101465,231,2024-01-29,439.58,A,381.53
101466,668,2024-01-21,39.19,C,46.15
101467,109,2024-05-01,184.17,C,164.82
101468,873,2024-01-16,308.99,C,287.65
101469,840,2024-07-17,154.17,D,128.72
101470,545,2024-01-01,133.91,B,112.94
101471,126,2024-07-29,308.25,A,297.85
101472,580,2024-01-03,246.65,D,199.93
101473,757,2024-05-13,260.05,C,178.36
101474,327,2024-02-15,122.74,C,144.99
101475,267,2024-10-24,110.35,A,122.17
101476,488,2024-01-05,207.59,C,166.12
101477,648,2024-02-18,326.16,C,371.23
101478,276,2024-07-28,49.14,A,39.36
101479,62,2024-02-14,158.5,B,177.96
101480,171,2024-02-29,114.54,A,141.72
101481,615,2024-03-12,173.53,C,216.75
101482,92,2024-02-06,288.97,B,265.15
101483,75,2024-02-29,84.23,D,58.56
101484,626,2024-02-22,266.67,C,254.86
101485,121,2024-05-18,126.16,C,116.06
101486,726,2024-01-03,361.89,A,404.34
101487,484,2024-01-20,88.67,A,72.75
101488,710,2024-06-29,323.04,B,330.82
101489,263,2024-05-12,54.55,A,40.52
101490,138,2024-02-06,197.47,B,217.04
101491,168,2024-02-28,270.64,B,265.06
101492,516,2024-01-20,90.77,C,59.44
101493,201,2024-01-13,117.71,B,150.34
101494,102,2024-02-07,174.96,C,170.22
101495,19,2024-01-27,133.53,A,123.78
101496,366,2024-02-22,108.72,B,131.89
101497,481,2024-01-05,311.49,C,305.44
101498,422,2024-08-07,387.13,C,337.89
101499,534,2024-09-14,371.83,A,351.58
101500,359,2024-03-12,239.35,D,230.47
101501,641,2024-02-16,262.84,C,229.42
101502,881,2024-01-23,77.93,C,66.04
101503,949,2024-04-10,162.86,B,161.03
101504,149,2024-03-10,185.99,A,180.99
101505,497,2024-01-11,213.12,B,125.96
101506,391,2024-05-25,210.41,B,157.19
101507,750,2024-04-13,175.3,A,203.54
101508,7,2024-06-28,237.38,C,261.93
101509,982,2024-03-18,203.64,C,194.33
101510,333,2024-02-27,203.3,C,149.85
101511,23,2024-02-02,96.14,B,130.48
101512,956,2024-06-10,62.41,B,36.33
101513,982,2024-04-30,213.89,B,238.54
101514,90,2024-01-03,121.97,C,117.53
101515,530,2024-01-02,100.03,C,85.96
101516,885,2024-01-29,275.53,A,345.64
101517,583,2024-04-09,164.21,B,121.1
101518,66,2024-09-18,425.46,D,522.46
101519,53,2024-01-10,255.39,C,207.49
101520,403,2024-02-24,91.07,A,109.31
101521,704,2024-01-29,277.9,A,246.56
101522,142,2024-07-29,229.4,B,264.96
101523,25,2024-04-20,88.1,C,69.19
101524,762,2024-04-19,110.15,B,66.42
101525,33,2024-02-07,268.83,C,266.67
101526,688,2024-02-02,30.88,C,22.51
101527,551,2024-01-20,18.8,B,15.88
101528,378,2024-01-04,194.97,B,162.55
101529,368,2024-04-30,184.38,B,125.72
101530,212,2024-04-10,207.87,B,162.94
101531,876,2025-05-05,184.77,C,180.56
101532,133,2024-12-07,235.23,B,248.12
101533,625,2024-02-18,390.7,B,411.25
101534,149,2024-03-28,172.48,A,175.43
101535,827,2024-06-22,45.2,B,43.15
101536,376,2024-04-23,26.75,A,2.31
101537,77,2024-01-18,130.79,A,117.72
101538,526,2024-02-05,133.53,C,147.08
101539,959,2024-01-09,53.3,B,18.74
101540,566,2024-07-03,14.51,A,10.57
101541,765,2024-02-25,123.19,A,85.86
101542,976,2024-01-16,506.79,B,572.2
101543,685,2024-03-07,228.41,C,231.16
101544,498,2024-02-27,214.34,A,212.68
101545,946,2024-01-27,150.63,C,146.74
101546,681,2024-01-08,130.61,C,127.02
101547,92,2024-03-07,245.02,C,275.6
101548,383,2024-02-14,59.65,D,72.59
101549,641,2024-03-29,594.81,C,535.26
101550,508,2024-02-14,64.03,C,12.55
101551,130,2024-04-24,260.79,A,322.89
101552,72,2024-02-18,69.71,C,4.19
101553,767,2024-02-19,188.23,A,172.1
101554,653,2024-05-05,280.54,B,339.79
101555,998,2024-01-31,36.54,C,57.9
101556,403,2024-01-09,76.94,A,53.13
101557,511,2024-01-02,81.61,C,64.9
101558,819,2024-03-25,139.5,B,102.61
101559,126,2024-02-28,205.79,B,234.11
101560,763,2024-03-14,513.59,C,434.38
101561,505,2024-01-15,109.34,B,77.8
101562,514,2024-01-09,492.12,B,555.23
101563,479,2024-01-01,222.69,B,259.5
101564,10,2024-01-26,61.99,C,65.61
101565,453,2024-02-23,151.18,C,143.67
101566,471,2024-01-30,46.0,B,79.49
101567,374,2024-02-04,130.85,B,96.26
101568,798,2024-05-20,123.7,D,164.79
101569,736,2024-01-26,190.54,D,249.66
101570,65,2024-02-13,261.4,C,323.84
101571,109,2024-04-01,160.45,C,176.03
101572,300,2024-01-31,68.85,C,30.45
101573,42,2024-02-28,424.26,B,393.21
101574,259,2024-04-28,535.44,A,540.3
101575,623,2024-06-28,148.6,C,122.06
101576,414,2024-01-10,215.66,A,185.04
101577,933,2024-06-05,142.27,B,156.69
101578,28,2024-02-10,191.68,B,167.19
101579,563,2024-01-18,199.27,B,195.92
101580,371,2024-02-06,54.13,C,-15.51
101581,213,2024-08-22,132.82,C,126.32
101582,637,2024-02-10,342.45,C,369.01
101583,781,2024-01-24,322.46,B,258.22
101584,552,2024-03-01,130.87,C,80.63
101585,154,2024-01-17,202.06,C,166.51
101586,872,2024-01-05,138.88,C,170.12
101587,158,2024-01-09,268.47,C,293.07
101588,920,2024-01-09,36.19,C,45.05
101589,294,2024-01-10,245.5,C,274.97
101590,361,2024-01-09,443.25,A,435.91
101591,366,2024-03-02,95.24,A,85.26
101592,453,2024-01-13,403.77,C,352.26
101593,784,2024-01-26,209.53,B,176.15
101594,622,2024-05-16,160.14,A,182.79
101595,234,2024-02-08,130.06,C,151.47
101596,823,2024-03-07,413.26,A,352.82
101597,177,2024-01-12,139.23,C,114.65
101598,639,2024-01-13,487.71,C,488.33
101599,592,2024-01-03,451.12,C,346.91
101600,52,2024-01-12,115.57,C,96.01
101601,817,2024-01-20,147.49,C,124.63
101602,448,2024-01-12,25.07,B,39.93
101603,816,2024-01-06,164.19,C,174.66
101604,330,2024-01-08,180.13,C,228.39
101605,594,2024-02-07,367.33,B,296.81
101606,806,2024-01-14,467.34,C,409.03
101607,785,2024-01-28,286.29,C,325.38
101608,553,2024-02-12,347.2,B,274.97
101609,822,2024-03-11,147.4,B,97.55
101610,296,2024-01-03,57.56,D,65.88
101611,799,2024-04-06,209.25,A,249.32
101612,346,2024-02-29,363.16,B,439.14
101613,154,2024-01-06,7.09,C,66.71
101614,232,2024-05-04,186.63,D,175.4
101615,332,2024-06-01,29.41,B,15.88
101616,146,2024-01-04,88.67,C,49.58
101617,482,2024-01-20,192.22,B,133.27
101618,803,2024-04-08,472.39,B,580.69
101619,379,2024-03-23,172.85,D,117.67
101620,376,2024-01-13,273.4,C,314.37
101621,971,2024-01-15,207.76,B,211.39
101622,568,2024-01-28,93.44,B,109.62
101623,885,2024-02-09,238.13,A,255.5
101624,30,2024-02-27,56.04,C,50.93
101625,429,2024-01-28,170.97,B,144.53
101626,498,2024-02-07,408.04,B,378.67
101627,587,2024-03-23,196.24,C,182.85
101628,494,2024-01-03,207.83,D,186.56
101629,564,2024-01-18,130.69,A,194.4
101630,196,2024-03-15,39.09,C,53.88
101631,823,2024-05-15,142.93,A,101.27
101632,740,2024-02-13,311.32,C,376.17
